14,14,14,4,15,16,16,12,7,13,13,13,13,4,12,12,12,12,13,13
14,7,4,13,15,16,12,7,13,13,13,13,13,4,4,4,12,13,13,13
14,8,4,1,1,1,1,12,13,13,13,13,13,4,4,4,12,12,13,13
4,4,1,14,4,6,4,13,13,13,13,13,1,1,4,12,4,12,13,13
9,4,1,13,13,6,6,13,13,13,12,4,4,1,1,1,1,12,13,13
9,9,1,1,13,11,13,13,13,9,12,4,1,1,1,1,12,12,13,13
4,9,9,12,13,13,13,13,13,9,12,4,1,1,1,1,1,12,13,13
4,12,12,13,13,13,13,1,1,9,4,4,10,1,1,1,1,12,13,9
4,4,4,13,13,13,13,13,1,1,4,1,10,10,1,1,1,1,9,9
13,13,13,13,13,13,12,13,1,1,1,10,10,10,1,1,1,9,8,8
13,13,13,13,13,13,12,4,13,1,1,10,10,10,1,1,1,9,9,8
13,13,12,12,13,13,12,4,13,1,1,1,10,1,1,11,12,9,9,8
13,13,12,12,13,13,12,4,1,13,1,1,1,1,1,6,6,12,12,9
13,12,12,12,13,12,4,1,13,1,1,1,1,6,6,6,12,16,15,9
13,9,12,12,13,13,4,1,1,1,1,1,1,1,6,2,12,16,16,15
9,9,12,12,13,13,4,1,1,1,1,3,1,1,1,1,12,15,15,15
9,9,9,9,12,13,1,1,1,1,3,3,1,6,6,1,12,12,2,15
9,9,9,13,13,13,4,4,1,3,3,1,11,6,1,2,2,2,2,2
9,9,13,13,7,13,7,12,4,1,3,3,1,1,1,2,2,2,2,2
9,13,7,7,7,13,7,12,4,1,1,1,1,2,2,2,2,2,2,2
